username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
antoineclement,2015-12-02 15:24,0,0,#Republicans offer prayers. They should offer more restrictive #gunlaws . #SanBernadinoShooting,,,#Republicans #gunlaws #SanBernadinoShooting,672194658966093824,https://twitter.com/antoineclement/status/672194658966093824
edensnanny,2015-12-03 20:25,0,0,#SanBernadinoShooting pic.twitter.com/rcoOMQewVn,,,#SanBernadinoShooting,672632818023841794,https://twitter.com/edensnanny/status/672632818023841794
tahoetervuren,2015-12-03 07:59,1,0,#SanBernadinoShooting NOW HEAR THIS! gun control will NOT stop criminals from getting weapons! For gawd sakes wake up!,,,#SanBernadinoShooting,672444949191725056,https://twitter.com/tahoetervuren/status/672444949191725056
Renegade98,2015-12-03 18:17,1,1,"San Bernardino: The latest site for America's unending gunfight - ONE NATION, UNDER THE GUN - LA Times #SanBernadinoShooting #SanBernadino",,,#SanBernadinoShooting #SanBernadino,672600598085165056,https://twitter.com/Renegade98/status/672600598085165056
EconomyRadio,2015-12-03 19:12,0,0,"#POTUS Congress, gun rights leaders, lobbyists of @NRA TIME to talk about REAL solution #SanBernadinoShooting pic.twitter.com/we9yfHA87h",,@NRA,#POTUS #SanBernadinoShooting,672614322879639555,https://twitter.com/EconomyRadio/status/672614322879639555
CHINDORTHY,2015-12-03 11:36,0,0,"San Bernardino Shooter -- Family Plagued By Violence: Turns out the family of Syed Farook , the San Bernardino shooter, was in constan...",,,,672499680249450496,https://twitter.com/CHINDORTHY/status/672499680249450496
RedotZone,2015-12-04 01:44,0,0,San Bernardino Shooter Syed Farook — Moments After Final Gun Battle (PHOTO) http://www. redotzone.com/san-bernardino -shooter-syed-farook-moments-after-final-gun-battle-photo/ …,,,,672713004266340352,https://twitter.com/RedotZone/status/672713004266340352
daniellecraigTV,2015-12-03 05:16,0,0,While you were sleeping - PD revealed suspects in #SanBernadinoShooting were in a relationship. Still looking for #motive #nw12am @KDRV,,@KDRV,#SanBernadinoShooting #motive #nw12am,672404114622439424,https://twitter.com/daniellecraigTV/status/672404114622439424
JohnnyCauthen,2015-12-03 20:09,0,0,Syed Farook Wrote Of Spending His Free Time At Mosque | The Daily Caller via @DailyCaller http:// dailycaller.com/2015/12/03/sye d-farook-wrote-of-spending-his-free-time-at-mosque-and-memorizing-the-quran/ … pic.twitter.com/4HTprIAZrz,,@DailyCaller,,672628668959752193,https://twitter.com/JohnnyCauthen/status/672628668959752193
Sthrnrepblond31,2015-12-04 14:44,3,4,Poor little Grandma lived in an IED factory and didn't even know it. #FarookAttorney #SanBernadinoShooting,,,#FarookAttorney #SanBernadinoShooting,672909279729463300,https://twitter.com/Sthrnrepblond31/status/672909279729463300
terrijo61,2015-12-02 15:29,0,0,One dead in the street. One wounded in the back of the SUV. One still on the run #SanBernadino #SanBernadinoShooting,,,#SanBernadino #SanBernadinoShooting,672195819353845760,https://twitter.com/terrijo61/status/672195819353845760
PilarSanmart,2015-12-06 04:39,0,0,"¿Quiénes eran Syed Rizwan Farook y Tashfeen Malik, los atacantes de San Bernardino? http:// cnn.it/1PLR8ds",,,,673481935130259456,https://twitter.com/PilarSanmart/status/673481935130259456
